id,count,bin,image_path,json_path,density_path,split
1,288,200-299,D:\PanoCrowdCount\data\dataset\images\1.jpg,D:\PanoCrowdCount\data\dataset\json\1.json,D:\PanoCrowdCount\data\dataset\density_maps\1.npy,train
10,648,500+,D:\PanoCrowdCount\data\dataset\images\10.jpg,D:\PanoCrowdCount\data\dataset\json\10.json,D:\PanoCrowdCount\data\dataset\density_maps\10.npy,val
100,304,300-499,D:\PanoCrowdCount\data\dataset\images\100.jpg,D:\PanoCrowdCount\data\dataset\json\100.json,D:\PanoCrowdCount\data\dataset\density_maps\100.npy,test
1000,106,100-199,D:\PanoCrowdCount\data\dataset\images\1000.jpg,D:\PanoCrowdCount\data\dataset\json\1000.json,D:\PanoCrowdCount\data\dataset\density_maps\1000.npy,train
1001,607,500+,D:\PanoCrowdCount\data\dataset\images\1001.jpg,D:\PanoCrowdCount\data\dataset\json\1001.json,D:\PanoCrowdCount\data\dataset\density_maps\1001.npy,val
1002,253,200-299,D:\PanoCrowdCount\data\dataset\images\1002.jpg,D:\PanoCrowdCount\data\dataset\json\1002.json,D:\PanoCrowdCount\data\dataset\density_maps\1002.npy,train
1003,149,100-199,D:\PanoCrowdCount\data\dataset\images\1003.jpg,D:\PanoCrowdCount\data\dataset\json\1003.json,D:\PanoCrowdCount\data\dataset\density_maps\1003.npy,test
1004,262,200-299,D:\PanoCrowdCount\data\dataset\images\1004.jpg,D:\PanoCrowdCount\data\dataset\json\1004.json,D:\PanoCrowdCount\data\dataset\density_maps\1004.npy,train
1005,45,0-49,D:\PanoCrowdCount\data\dataset\images\1005.jpg,D:\PanoCrowdCount\data\dataset\json\1005.json,D:\PanoCrowdCount\data\dataset\density_maps\1005.npy,train
1006,47,0-49,D:\PanoCrowdCount\data\dataset\images\1006.jpg,D:\PanoCrowdCount\data\dataset\json\1006.json,D:\PanoCrowdCount\data\dataset\density_maps\1006.npy,test
1007,109,100-199,D:\PanoCrowdCount\data\dataset\images\1007.jpg,D:\PanoCrowdCount\data\dataset\json\1007.json,D:\PanoCrowdCount\data\dataset\density_maps\1007.npy,train
1008,23,0-49,D:\PanoCrowdCount\data\dataset\images\1008.jpg,D:\PanoCrowdCount\data\dataset\json\1008.json,D:\PanoCrowdCount\data\dataset\density_maps\1008.npy,train
1009,96,50-99,D:\PanoCrowdCount\data\dataset\images\1009.jpg,D:\PanoCrowdCount\data\dataset\json\1009.json,D:\PanoCrowdCount\data\dataset\density_maps\1009.npy,val
101,24,0-49,D:\PanoCrowdCount\data\dataset\images\101.jpg,D:\PanoCrowdCount\data\dataset\json\101.json,D:\PanoCrowdCount\data\dataset\density_maps\101.npy,train
1010,167,100-199,D:\PanoCrowdCount\data\dataset\images\1010.jpg,D:\PanoCrowdCount\data\dataset\json\1010.json,D:\PanoCrowdCount\data\dataset\density_maps\1010.npy,val
1011,30,0-49,D:\PanoCrowdCount\data\dataset\images\1011.jpg,D:\PanoCrowdCount\data\dataset\json\1011.json,D:\PanoCrowdCount\data\dataset\density_maps\1011.npy,train
1012,99,50-99,D:\PanoCrowdCount\data\dataset\images\1012.jpg,D:\PanoCrowdCount\data\dataset\json\1012.json,D:\PanoCrowdCount\data\dataset\density_maps\1012.npy,train
1013,20,0-49,D:\PanoCrowdCount\data\dataset\images\1013.jpg,D:\PanoCrowdCount\data\dataset\json\1013.json,D:\PanoCrowdCount\data\dataset\density_maps\1013.npy,train
1014,259,200-299,D:\PanoCrowdCount\data\dataset\images\1014.jpg,D:\PanoCrowdCount\data\dataset\json\1014.json,D:\PanoCrowdCount\data\dataset\density_maps\1014.npy,train
1015,35,0-49,D:\PanoCrowdCount\data\dataset\images\1015.jpg,D:\PanoCrowdCount\data\dataset\json\1015.json,D:\PanoCrowdCount\data\dataset\density_maps\1015.npy,train
1016,89,50-99,D:\PanoCrowdCount\data\dataset\images\1016.jpg,D:\PanoCrowdCount\data\dataset\json\1016.json,D:\PanoCrowdCount\data\dataset\density_maps\1016.npy,test
1017,38,0-49,D:\PanoCrowdCount\data\dataset\images\1017.jpg,D:\PanoCrowdCount\data\dataset\json\1017.json,D:\PanoCrowdCount\data\dataset\density_maps\1017.npy,val
1018,43,0-49,D:\PanoCrowdCount\data\dataset\images\1018.jpg,D:\PanoCrowdCount\data\dataset\json\1018.json,D:\PanoCrowdCount\data\dataset\density_maps\1018.npy,val
1019,155,100-199,D:\PanoCrowdCount\data\dataset\images\1019.jpg,D:\PanoCrowdCount\data\dataset\json\1019.json,D:\PanoCrowdCount\data\dataset\density_maps\1019.npy,train
102,128,100-199,D:\PanoCrowdCount\data\dataset\images\102.jpg,D:\PanoCrowdCount\data\dataset\json\102.json,D:\PanoCrowdCount\data\dataset\density_maps\102.npy,val
1020,74,50-99,D:\PanoCrowdCount\data\dataset\images\1020.jpg,D:\PanoCrowdCount\data\dataset\json\1020.json,D:\PanoCrowdCount\data\dataset\density_maps\1020.npy,test
1021,95,50-99,D:\PanoCrowdCount\data\dataset\images\1021.jpg,D:\PanoCrowdCount\data\dataset\json\1021.json,D:\PanoCrowdCount\data\dataset\density_maps\1021.npy,train
1022,109,100-199,D:\PanoCrowdCount\data\dataset\images\1022.jpg,D:\PanoCrowdCount\data\dataset\json\1022.json,D:\PanoCrowdCount\data\dataset\density_maps\1022.npy,train
1023,57,50-99,D:\PanoCrowdCount\data\dataset\images\1023.jpg,D:\PanoCrowdCount\data\dataset\json\1023.json,D:\PanoCrowdCount\data\dataset\density_maps\1023.npy,train
1024,24,0-49,D:\PanoCrowdCount\data\dataset\images\1024.jpg,D:\PanoCrowdCount\data\dataset\json\1024.json,D:\PanoCrowdCount\data\dataset\density_maps\1024.npy,train
1025,183,100-199,D:\PanoCrowdCount\data\dataset\images\1025.jpg,D:\PanoCrowdCount\data\dataset\json\1025.json,D:\PanoCrowdCount\data\dataset\density_maps\1025.npy,test
1026,138,100-199,D:\PanoCrowdCount\data\dataset\images\1026.jpg,D:\PanoCrowdCount\data\dataset\json\1026.json,D:\PanoCrowdCount\data\dataset\density_maps\1026.npy,test
1027,66,50-99,D:\PanoCrowdCount\data\dataset\images\1027.jpg,D:\PanoCrowdCount\data\dataset\json\1027.json,D:\PanoCrowdCount\data\dataset\density_maps\1027.npy,train
1028,19,0-49,D:\PanoCrowdCount\data\dataset\images\1028.jpg,D:\PanoCrowdCount\data\dataset\json\1028.json,D:\PanoCrowdCount\data\dataset\density_maps\1028.npy,train
1029,84,50-99,D:\PanoCrowdCount\data\dataset\images\1029.jpg,D:\PanoCrowdCount\data\dataset\json\1029.json,D:\PanoCrowdCount\data\dataset\density_maps\1029.npy,train
103,52,50-99,D:\PanoCrowdCount\data\dataset\images\103.jpg,D:\PanoCrowdCount\data\dataset\json\103.json,D:\PanoCrowdCount\data\dataset\density_maps\103.npy,train
1030,94,50-99,D:\PanoCrowdCount\data\dataset\images\1030.jpg,D:\PanoCrowdCount\data\dataset\json\1030.json,D:\PanoCrowdCount\data\dataset\density_maps\1030.npy,train
1031,146,100-199,D:\PanoCrowdCount\data\dataset\images\1031.jpg,D:\PanoCrowdCount\data\dataset\json\1031.json,D:\PanoCrowdCount\data\dataset\density_maps\1031.npy,train
1032,149,100-199,D:\PanoCrowdCount\data\dataset\images\1032.jpg,D:\PanoCrowdCount\data\dataset\json\1032.json,D:\PanoCrowdCount\data\dataset\density_maps\1032.npy,train
1033,46,0-49,D:\PanoCrowdCount\data\dataset\images\1033.jpg,D:\PanoCrowdCount\data\dataset\json\1033.json,D:\PanoCrowdCount\data\dataset\density_maps\1033.npy,train
1034,17,0-49,D:\PanoCrowdCount\data\dataset\images\1034.jpg,D:\PanoCrowdCount\data\dataset\json\1034.json,D:\PanoCrowdCount\data\dataset\density_maps\1034.npy,train
1035,632,500+,D:\PanoCrowdCount\data\dataset\images\1035.jpg,D:\PanoCrowdCount\data\dataset\json\1035.json,D:\PanoCrowdCount\data\dataset\density_maps\1035.npy,train
1036,144,100-199,D:\PanoCrowdCount\data\dataset\images\1036.jpg,D:\PanoCrowdCount\data\dataset\json\1036.json,D:\PanoCrowdCount\data\dataset\density_maps\1036.npy,train
1037,115,100-199,D:\PanoCrowdCount\data\dataset\images\1037.jpg,D:\PanoCrowdCount\data\dataset\json\1037.json,D:\PanoCrowdCount\data\dataset\density_maps\1037.npy,train
1038,61,50-99,D:\PanoCrowdCount\data\dataset\images\1038.jpg,D:\PanoCrowdCount\data\dataset\json\1038.json,D:\PanoCrowdCount\data\dataset\density_maps\1038.npy,train
1039,186,100-199,D:\PanoCrowdCount\data\dataset\images\1039.jpg,D:\PanoCrowdCount\data\dataset\json\1039.json,D:\PanoCrowdCount\data\dataset\density_maps\1039.npy,train
104,208,200-299,D:\PanoCrowdCount\data\dataset\images\104.jpg,D:\PanoCrowdCount\data\dataset\json\104.json,D:\PanoCrowdCount\data\dataset\density_maps\104.npy,train
1040,52,50-99,D:\PanoCrowdCount\data\dataset\images\1040.jpg,D:\PanoCrowdCount\data\dataset\json\1040.json,D:\PanoCrowdCount\data\dataset\density_maps\1040.npy,test
1041,140,100-199,D:\PanoCrowdCount\data\dataset\images\1041.jpg,D:\PanoCrowdCount\data\dataset\json\1041.json,D:\PanoCrowdCount\data\dataset\density_maps\1041.npy,train
1042,162,100-199,D:\PanoCrowdCount\data\dataset\images\1042.jpg,D:\PanoCrowdCount\data\dataset\json\1042.json,D:\PanoCrowdCount\data\dataset\density_maps\1042.npy,train
1043,123,100-199,D:\PanoCrowdCount\data\dataset\images\1043.jpg,D:\PanoCrowdCount\data\dataset\json\1043.json,D:\PanoCrowdCount\data\dataset\density_maps\1043.npy,val
1044,194,100-199,D:\PanoCrowdCount\data\dataset\images\1044.jpg,D:\PanoCrowdCount\data\dataset\json\1044.json,D:\PanoCrowdCount\data\dataset\density_maps\1044.npy,train
105,393,300-499,D:\PanoCrowdCount\data\dataset\images\105.jpg,D:\PanoCrowdCount\data\dataset\json\105.json,D:\PanoCrowdCount\data\dataset\density_maps\105.npy,train
106,903,500+,D:\PanoCrowdCount\data\dataset\images\106.jpg,D:\PanoCrowdCount\data\dataset\json\106.json,D:\PanoCrowdCount\data\dataset\density_maps\106.npy,train
107,90,50-99,D:\PanoCrowdCount\data\dataset\images\107.jpg,D:\PanoCrowdCount\data\dataset\json\107.json,D:\PanoCrowdCount\data\dataset\density_maps\107.npy,train
108,123,100-199,D:\PanoCrowdCount\data\dataset\images\108.jpg,D:\PanoCrowdCount\data\dataset\json\108.json,D:\PanoCrowdCount\data\dataset\density_maps\108.npy,train
109,95,50-99,D:\PanoCrowdCount\data\dataset\images\109.jpg,D:\PanoCrowdCount\data\dataset\json\109.json,D:\PanoCrowdCount\data\dataset\density_maps\109.npy,train
11,300,300-499,D:\PanoCrowdCount\data\dataset\images\11.jpg,D:\PanoCrowdCount\data\dataset\json\11.json,D:\PanoCrowdCount\data\dataset\density_maps\11.npy,val
110,60,50-99,D:\PanoCrowdCount\data\dataset\images\110.jpg,D:\PanoCrowdCount\data\dataset\json\110.json,D:\PanoCrowdCount\data\dataset\density_maps\110.npy,train
111,87,50-99,D:\PanoCrowdCount\data\dataset\images\111.jpg,D:\PanoCrowdCount\data\dataset\json\111.json,D:\PanoCrowdCount\data\dataset\density_maps\111.npy,train
112,87,50-99,D:\PanoCrowdCount\data\dataset\images\112.jpg,D:\PanoCrowdCount\data\dataset\json\112.json,D:\PanoCrowdCount\data\dataset\density_maps\112.npy,val
113,64,50-99,D:\PanoCrowdCount\data\dataset\images\113.jpg,D:\PanoCrowdCount\data\dataset\json\113.json,D:\PanoCrowdCount\data\dataset\density_maps\113.npy,train
114,77,50-99,D:\PanoCrowdCount\data\dataset\images\114.jpg,D:\PanoCrowdCount\data\dataset\json\114.json,D:\PanoCrowdCount\data\dataset\density_maps\114.npy,train
115,79,50-99,D:\PanoCrowdCount\data\dataset\images\115.jpg,D:\PanoCrowdCount\data\dataset\json\115.json,D:\PanoCrowdCount\data\dataset\density_maps\115.npy,train
116,450,300-499,D:\PanoCrowdCount\data\dataset\images\116.jpg,D:\PanoCrowdCount\data\dataset\json\116.json,D:\PanoCrowdCount\data\dataset\density_maps\116.npy,train
117,526,500+,D:\PanoCrowdCount\data\dataset\images\117.jpg,D:\PanoCrowdCount\data\dataset\json\117.json,D:\PanoCrowdCount\data\dataset\density_maps\117.npy,train
118,50,50-99,D:\PanoCrowdCount\data\dataset\images\118.jpg,D:\PanoCrowdCount\data\dataset\json\118.json,D:\PanoCrowdCount\data\dataset\density_maps\118.npy,train
119,215,200-299,D:\PanoCrowdCount\data\dataset\images\119.jpg,D:\PanoCrowdCount\data\dataset\json\119.json,D:\PanoCrowdCount\data\dataset\density_maps\119.npy,train
12,214,200-299,D:\PanoCrowdCount\data\dataset\images\12.jpg,D:\PanoCrowdCount\data\dataset\json\12.json,D:\PanoCrowdCount\data\dataset\density_maps\12.npy,train
120,487,300-499,D:\PanoCrowdCount\data\dataset\images\120.jpg,D:\PanoCrowdCount\data\dataset\json\120.json,D:\PanoCrowdCount\data\dataset\density_maps\120.npy,train
121,145,100-199,D:\PanoCrowdCount\data\dataset\images\121.jpg,D:\PanoCrowdCount\data\dataset\json\121.json,D:\PanoCrowdCount\data\dataset\density_maps\121.npy,train
122,323,300-499,D:\PanoCrowdCount\data\dataset\images\122.jpg,D:\PanoCrowdCount\data\dataset\json\122.json,D:\PanoCrowdCount\data\dataset\density_maps\122.npy,train
